LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-75.197904,39.9673801,767,N 38TH ST,,,,,19104,243095100,25d65b0dd9ae8fe8
-75.2007576,39.9651644,3910,FAIRMOUNT AVE,,,,,19104,242226200,93146c0f2b4eeabc
-75.2097721,39.9717888,4220,MANTUA AVE,,,,,19104,062109510,dd275acb5bfdd58b
-75.2089318,39.9697443,4222,WESTMINSTER AVE,,,,,19104,062091700,ca5b5aa2ef05722f
-75.2052616,39.9694741,4047,OGDEN ST,,,,,19104,062076500,24afbb05dfece98e
-75.2108031,39.9677132,4334,PARRISH ST,,,,,19104,062054500,86415ac04ceb2303
-75.2031643,39.9608767,422,WIOTA ST,,,,,19104,061177000,8d2d7c706d50c97f
-75.2018555,39.9622153,3959,WARREN ST,,,,,19104,774003026,2c4e296e7e835eae
-75.2021956,39.9584271,36,N 40TH ST,,,,,19104,881161305,8d6b8a02c1fbf6c7
-75.2088492,39.9694601,883,BROOKLYN ST,,,,,19104,062299600,44f5c8458fba897e
-75.2072525,39.9630619,616,N 42ND ST,,,,,19104,061255200,c7baf81ef56e8a19
-75.198513,39.9654218,3822,FAIRMOUNT AVE,,,,,19104,242125100,01d52faf8050aba0
-75.2107794,39.9545209,221,BUCKINGHAM PL,,,,,19104,272137100,1d3c59e3ac079b78
-75.2112029,39.9545749,220,BUCKINGHAM PL,,,,,19104,272138600,6e5c7b228b9fb638
-75.1917955,39.966505,703,N 34TH ST,,,,,19104,243069710,d1c5bbb9b832bcac
-75.2075183,39.968148,4143,PARRISH ST,,,,,19104,062061900,44c8592e0d938978
-75.2094021,39.9673151,4242,LANCASTER AVE,,,,,19104,871287850,b563320c604f2f49
-75.2082623,39.9684469,852,N 42ND ST,,,,,19104,886810167,2c2973020813ed6e
-75.2097005,39.9683431,827,N 43RD ST,,,,,19104,062308800,b7e1282ce27d35b5
-75.1983268,39.9635388,3819-31,HAVERFORD AVE,,,,,19104,886910270,491aba8d947efef4
-75.2013655,39.9684875,3922,PARRISH ST,,,,,19104,243141500,e222db841be606de
-75.2009388,39.9607168,3917-27,BARING ST,,,,,19104,884345060,802c106f4feac4df
-75.1910618,39.9648572,3323,MOUNT VERNON ST,,,,,19104,242070050,1daeaf66d6986ad4
-75.2093032,39.9574395,11,S 44TH ST,,,,,19104,272120810,1cbee2f18796015c
-75.2061515,39.960598,422,N HOLLY ST,,,,,19104,061236300,105c965464cc65e7
-75.2093817,39.9693937,872,BROOKLYN ST,,,,,19104,062303700,c77a504a4e4807b0
-75.201893,39.971793,3920,PENNSGROVE ST,,,,,19104,243166700,b2a49e789ca7f1f5
-75.2064159,39.9679062,4116,PARRISH ST,,,,,19104,062050500,eabe433efa3ebe03
-75.2060009,39.953656,4109,LOCUST ST,,,,,19104,271156300,4fd4fbaef3f49461
-75.2130968,39.9724698,4501,POPLAR ST,,,,,19104,881437050,00d8f3262bcb0738
-75.2087947,39.9648507,4243,FAIRMOUNT AVE,,,,,19104,061137900,6d128806a0e1c1f6
-75.2043767,39.9607656,417,BUDD ST,,,,,19104,061202800,0dbc7d87cbe445f0
-75.1944703,39.9673636,3517,ASPEN ST,,,,,19104,243041700,3b5c4eb5fb16261c
-75.1990712,39.9608185,3827,BARING ST,,,,,19104,241174900,a390d067d366fa40
-75.2026146,39.9638479,616,N 40TH ST,,,,,19104,885051860,abeefe406806be78
-75.20491,39.9731325,4022,CAMBRIDGE ST,,,,,19104,062156310,d6459e2dc987aec2
-75.1990769,39.9685163,3813,RENO ST,,,,,19104,243131610,c6f00db16d7f87f8
-75.2103735,39.957728,4422,MARKET ST,,,,,19104,882969815,a916c2637bcd9c14
-75.2069099,39.9582712,4225,FILBERT ST,,,,,19104,061010500,d7b943a7930a6d03
-75.2058936,39.958284,23,N 42ND ST,,,,,19104,061241600,a43781f5280841cc
-75.201127,39.9671908,3925,FOLSOM ST,,,,,19104,243061500,547d4ea19e5654b0
-75.2054439,39.9504127,405,S 41ST ST,,,,,19104,271187300,2b7e5ceaaa76f24f
-75.2058109,39.9527632,234,S 41ST ST,,,,,19104,881608820,d1b276fae33be5af
