LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH,preciselyID,livingSquareFootage,saleAmount,buildingID,buildingType,elevation,maximumElevation,minimumElevation,buildingArea
-75.1993242,39.966482,3846,ASPEN ST,,Philadelphia,University City,West Philadelphia,19104,243036900,fbcc8ef929c27c67,P0000JCBUH4E,1026.0,,B000CTQ2BU2E,Residential,92.0,94.0,90.0,827.0
-75.2112214,39.9736376,4243,W GIRARD AVE,,Philadelphia,University City,West Philadelphia,19104,62181600,46881fe2599c5a0e,P0000JCBUJMC,2160.0,,B000CTQ2I2DC,Residential,124.0,124.0,122.0,1047.0
-75.1992792,39.9662612,3849,OLIVE ST,,Philadelphia,University City,West Philadelphia,19104,243029200,25e2332bdc77b1b4,P0000JCBUH1Q,956.0,1.0,B000CTQ2C1F1,Residential,94.0,95.0,93.0,656.0
-75.1853384,39.9564708,3025,JOHN F KENNEDY BLV,,Philadelphia,University City,West Philadelphia,19104,885734880,a7f0f914755068dc,P0000JCD8KEM,,235600.0,,,,,,
-75.1995796,39.9679655,3833,BROWN ST,,Philadelphia,University City,West Philadelphia,19104,243120310,b9f65f75943c9911,P0000JCD8KMI,,500.0,,,,,,
-75.1987945,39.9637385,3848,MOUNT VERNON ST,,Philadelphia,University City,West Philadelphia,19104,886576950,1f358e009414a3e6,P0000JCBUDZV,1237.0,163800.0,B000CTQ2JDOA,Residential,83.0,84.0,81.0,606.0
-75.2038507,39.9545743,4027,WALNUT ST,,Philadelphia,University City,West Philadelphia,19104,881041860,6c997cc70955cea3,P0000JCBUR4S,4600.0,,B000CTQ2GENQ,Residential,85.0,88.0,84.0,4809.0
-75.2083838,39.9473575,4244,REGENT SQ,,Philadelphia,University City,West Philadelphia,19104,272092700,86a3ebed4be87be5,P0000JCBUNS8,1710.0,80000.0,B000CTQ2EM6Y,Residential,51.0,51.0,49.0,736.0
-75.207704,39.95881,4241,POWELTON AVE,,Philadelphia,University City,West Philadelphia,19104,774545000,7a20a8e8925d013f,P0000JCD8KTP,,,,,,,,
-75.2076005,39.9557235,4241,SANSOM ST,,Philadelphia,University City,West Philadelphia,19104,272021700,df63773f08025642,P0000JCBUEF4,2400.0,274000.0,B000CTQ2HSP3,Residential,74.0,74.0,74.0,970.0
-75.2040156,39.9651915,702,N PRESTON ST,,Philadelphia,University City,West Philadelphia,19104,61197900,7b60e2b08c4033bf,P0000JCBUFPE,1296.0,27900.0,B000CTQ2IJ7R,Residential,106.0,108.0,105.0,824.0
-75.1994049,39.967064,3846,FOLSOM ST,,Philadelphia,University City,West Philadelphia,19104,243053300,69d29b854a34ec18,P0000JCBUH5U,,21500.0,,,,,,
-75.1994636,39.9673898,3847,FOLSOM ST,,Philadelphia,University City,West Philadelphia,19104,243059110,95b1c760278e6ebb,P0000JCBUH5C,1048.0,,B000CTQ2EUOB,Residential,90.0,90.0,87.0,584.0
-75.2037702,39.954872,4028,SANSOM ST,,Philadelphia,University City,West Philadelphia,19104,271147800,b218a90a8195d7cd,P0000JCBUR6X,1700.0,10672419.0,B000CTQ2IG06,Residential,88.0,88.0,87.0,760.0
-75.2130753,39.9740481,1224-36,BELMONT AVE,,Philadelphia,University City,West Philadelphia,19104,884897504,6d78d6dbd4e6b5a3,,,,B000CTRV1WY2,Unknown,118.0,121.0,113.0,50673.0
-75.2016662,39.966857,3948,FOLSOM ST,,Philadelphia,University City,West Philadelphia,19104,243056910,e02c3513410d66e2,P0000JCD8L5Q,,500.0,,,,,,
-75.2054584,39.9727735,4043,POPLAR ST,,Philadelphia,University City,West Philadelphia,19104,62154100,8dd52c276d927e6c,P0000JCBUIIH,1540.0,6193.0,B000CTQ2IEMN,Residential,109.0,110.0,108.0,1147.0
-75.2096191,39.9702819,4248,PENNSGROVE ST,,Philadelphia,University City,West Philadelphia,19104,62123800,c7dfcb78f40a796b,P0000JCD8JHC,,33500.0,,,,,,
-75.2051437,39.9611632,435,N 41ST ST,,Philadelphia,University City,West Philadelphia,19104,61213200,74af619756db6092,P0000JCBUHYD,1740.0,,B000CTQ2IBGR,Residential,102.0,102.0,101.0,829.0
-75.2041211,39.9533671,4029,LOCUST ST,,Philadelphia,University City,West Philadelphia,19104,881604490,f8dd0a85695a0171,P0000JCD8JZR,2850.0,50000.0,B000CTRV1WWZ,Residential,79.0,79.0,78.0,1012.0
-75.1881483,39.9648875,3104,MOUNT VERNON ST,,Philadelphia,University City,West Philadelphia,19104,242055200,bfc0d85406470bb1,P0000JCBUD7H,1428.0,32550.0,B000CTQ2JHB5,Residential,86.0,86.0,83.0,515.0
-75.1976955,39.9609868,3821,LANCASTER AVE,,Philadelphia,University City,West Philadelphia,19104,241144200,d620b4962d04efae,P0000JCCWJ5W,2956.0,500000.0,B000CTQ2CTKV,Residential,105.0,105.0,102.0,1366.0
-75.2101029,39.9530081,4323-31,SPRUCE ST,,Philadelphia,University City,West Philadelphia,19104,881122224,16a9e840767f13ee,,,,B000CTRV0TU1,Mixed,62.0,65.0,57.0,10432.0
-75.2097354,39.9707809,4232,OTTER ST,,Philadelphia,University City,West Philadelphia,19104,62132100,c1e696a68aae32a8,P0000JCCWK3N,2064.0,,B000CTQ2ANOC,Residential,116.0,116.0,116.0,993.0
-75.2097871,39.9710919,4233,OTTER ST,,Philadelphia,University City,West Philadelphia,19104,62135000,e8e08a242b4e580c,P0000JCBUK48,2052.0,435500.0,B000CTQ2A4EH,Residential,116.0,119.0,115.0,1012.0
-75.2025381,39.9501817,3951,BALTIMORE AVE,,Philadelphia,University City,West Philadelphia,19104,271127400,162fb5f81d58b1a2,P0000JCBULV3,2925.0,28000.0,B000CTQ2AKMX,Residential,79.0,80.0,78.0,1193.0
-75.1990335,39.9651476,3849,MELON ST,,Philadelphia,University City,West Philadelphia,19104,886576401,84062c47e9af5656,P0000JCBUGVX,1062.0,163800.0,B000CTQ2BRW4,Residential,93.0,93.0,92.0,495.0
-75.2074126,39.9575153,4238,MARKET ST,,Philadelphia,University City,West Philadelphia,19104,885697620,57f9bbf00c43f169,P0000JCD8L1F,,1.0,,,,,,
-75.2105976,39.9498152,4332,LARCHWOOD AVE,,Philadelphia,University City,West Philadelphia,19104,272065600,f14dbeaee7095012,P0000JCBUN9K,1800.0,105000.0,B000CTQ2JQ9I,Residential,74.0,76.0,73.0,1100.0
-75.2036636,39.9625487,4042,HAVERFORD AVE,,Philadelphia,University City,West Philadelphia,19104,61045500,e4697fc8556b7806,P0000JCBUHTY,1580.0,,B000CTQ2EZLX,Residential,104.0,105.0,103.0,873.0
-75.1905478,39.9585411,3316,RACE ST,,Philadelphia,University City,West Philadelphia,19104,774547205,b9ed136faf915526,P0000JCD8KOC,,54697.0,,,,,,
-75.2057352,39.9742359,4037,W GIRARD AVE,,Philadelphia,University City,West Philadelphia,19104,62175800,50af3aab3ad7b094,P0000JCD8K1Q,2212.0,10100.0,B000CTQ2I86X,Residential,103.0,103.0,99.0,1168.0
-75.2057159,39.974555,4046,PARKSIDE AVE,,Philadelphia,University City,West Philadelphia,19104,62219800,e182916ee7f7c5f4,P0000JCBUIHH,2955.0,,B000CTQ2I0CT,Residential,103.0,104.0,102.0,1329.0
-75.2027663,39.9726686,3942,POPLAR ST,,Philadelphia,University City,West Philadelphia,19104,243199600,fde5320e9dbd33aa,P0000JCBUIR8,,4800.0,,,,,,
-75.2112561,39.9698758,905,BELMONT AVE,,Philadelphia,University City,West Philadelphia,19104,886810189,50db448c8202ac1d,P0000JCCWKHB,1923.0,9000.0,B000CTQ2IWT0,Residential,117.0,117.0,117.0,902.0
-75.2056246,39.9591198,305,N HOLLY ST,,Philadelphia,University City,West Philadelphia,19104,61228400,94ffd3d68c7476cd,P0000JCBUSNI,960.0,,B000CTQ2JX9B,Residential,93.0,94.0,93.0,605.0
